Listing_Postion,Title,Brand,MRP,Price,Count_of_Rating,Count_of_reviews,Average_Rating_Score,Product_URL,Image_URL
1,Acer I Series 108 cm (43 inch) 4K Ultra HD LED Android TV with Google Assistant (2022 model),Acer ,34990.0,22999.0,52.0,48.0,4.6,https://www.croma.com/acer-i-series-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2022-model-/p/255843,/acer-i-series-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2022-model-/p/255843
2,Croma 109 cm (43 inch) 4K Ultra HD Smart WebOS TV with Dolby Audio,Croma ,50000.0,20990.0,40.0,38.0,4.3,https://www.croma.com/croma-109-cm-43-inch-4k-ultra-hd-smart-webos-tv-with-dolby-audio/p/265284,/croma-109-cm-43-inch-4k-ultra-hd-smart-webos-tv-with-dolby-audio/p/265284
3,SAMSUNG Crystal 4K Neo 108 cm (43 inch) 4K Ultra HD LED Tizen TV with Voice Assistance (2022 model),Samsung ,47900.0,29990.0,3.0,3.0,4.7,https://www.croma.com/samsung-crystal-4k-neo-108-cm-43-inch-4k-ultra-hd-led-tizen-tv-with-voice-assistance-2022-model-/p/256071,/samsung-crystal-4k-neo-108-cm-43-inch-4k-ultra-hd-led-tizen-tv-with-voice-assistance-2022-model-/p/256071
4,SAMSUNG Series 7 125 cm (50 inch) 4K Ultra HD LED Tizen TV with Alexa Compatibility (2021 model),Samsung ,69900.0,50990.0,34.0,31.0,4.5,https://www.croma.com/samsung-series-7-125-cm-50-inch-4k-ultra-hd-led-tizen-tv-with-alexa-compatibility-2021-model-/p/234369,/samsung-series-7-125-cm-50-inch-4k-ultra-hd-led-tizen-tv-with-alexa-compatibility-2021-model-/p/234369
5,Croma 127 cm (50 inch) 4K Ultra HD LED Smart WebOS TV (2022 model),Croma ,60000.0,27990.0,29.0,28.0,4.5,https://www.croma.com/croma-127-cm-50-inch-4k-ultra-hd-led-smart-webos-tv-2022-model-/p/251388,/croma-127-cm-50-inch-4k-ultra-hd-led-smart-webos-tv-2022-model-/p/251388
6,Foxsky 127 cm (50 inch) 4K Ultra HD LED Android TV with Google Assistant (2021 model),Foxsky ,82990.0,24999.0,7.0,7.0,3.3,https://www.croma.com/foxsky-127-cm-50-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2021-model-/p/258796,/foxsky-127-cm-50-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2021-model-/p/258796
7,SAMSUNG Crystal 4K 138 cm (55 inch) 4K Ultra HD LED Tizen Smart TV (2021 model),Samsung ,69900.0,43990.0,2.0,2.0,5.0,https://www.croma.com/samsung-crystal-4k-138-cm-55-inch-4k-ultra-hd-led-tizen-smart-tv-2021-model-/p/252331,/samsung-crystal-4k-138-cm-55-inch-4k-ultra-hd-led-tizen-smart-tv-2021-model-/p/252331
8,SAMSUNG Crystal 4K 108 cm (43 inch) 4K Ultra HD LED Tizen TV (2021 model),Samsung ,52900.0,28990.0,3.0,3.0,3.7,https://www.croma.com/samsung-crystal-4k-108-cm-43-inch-4k-ultra-hd-led-tizen-tv-2021-model-/p/252329,/samsung-crystal-4k-108-cm-43-inch-4k-ultra-hd-led-tizen-tv-2021-model-/p/252329
9,Croma 140 cm (55 inch) 4K Ultra HD LED Smart WebOS TV (2022 model),Croma ,75000.0,31990.0,18.0,16.0,4.1,https://www.croma.com/croma-140-cm-55-inch-4k-ultra-hd-led-smart-webos-tv-2022-model-/p/251389,/croma-140-cm-55-inch-4k-ultra-hd-led-smart-webos-tv-2022-model-/p/251389
10,Hisense Bezelless 126 cm (50 inch) LED 4K Ultra HD Google TV with Dolby Vision (2022 model),Hisense ,54990.0,29999.0,,,,https://www.croma.com/hisense-bezelless-126-cm-50-inch-led-4k-ultra-hd-google-tv-with-dolby-vision-2022-model-/p/267994,/hisense-bezelless-126-cm-50-inch-led-4k-ultra-hd-google-tv-with-dolby-vision-2022-model-/p/267994
11,SONY X75K 139 cm (55 inch) 4K Ultra HD LED Google Android TV with Voice Assistance (2022 model),Sony ,99900.0,62690.0,63.0,61.0,4.6,https://www.croma.com/sony-x75k-139-cm-55-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/252947,/sony-x75k-139-cm-55-inch-4k-ultra-hd-led-google-android-tv-with-voice-assistance-2022-model-/p/252947
12,Mi 5X 108 cm (43 inch) 4K Ultra HD LED Android TV with Alexa Compatibility (2021 model),Redmi ,49999.0,30899.0,29.0,24.0,4.2,https://www.croma.com/mi-5x-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-alexa-compatibility-2021-model-/p/242860,/mi-5x-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-alexa-compatibility-2021-model-/p/242860
13,Kodak 7XPRO Series 108 cm (43 inch) 4K Ultra HD LED Android TV with Google Assistant (2021 model),Kodak ,33999.0,19999.0,9.0,9.0,2.4,https://www.croma.com/kodak-7xpro-series-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2021-model-/p/259829,/kodak-7xpro-series-108-cm-43-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2021-model-/p/259829
14,Hisense A6H 108 cm (43 inch) 4K Ultra HD LED Google TV with Dolby Vision (2022 model),Hisense ,44990.0,27990.0,,,,https://www.croma.com/hisense-a6h-108-cm-43-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-2022-model-/p/257093,/hisense-a6h-108-cm-43-inch-4k-ultra-hd-led-google-tv-with-dolby-vision-2022-model-/p/257093
15,Acer I Series 139 cm (55 inch) 4K Ultra HD LED Android TV with Google Assistant (2022 model),Acer ,47990.0,29999.0,36.0,34.0,4.8,https://www.croma.com/acer-i-series-139-cm-55-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2022-model-/p/255845,/acer-i-series-139-cm-55-inch-4k-ultra-hd-led-android-tv-with-google-assistant-2022-model-/p/255845
